பால்,இயல்,அதிகாரம் தலைப்பு,அதிகாரம் எண்,சுற்று 1 – ஒதுக்கீடு,குறிப்பு
பொருட்பால்,குடியியல்,,96,,
பொருட்பால்,குடியியல்,,97,,
பொருட்பால்,குடியியல்,,98,,
பொருட்பால்,குடியியல்,,99,,
பொருட்பால்,குடியியல்,,100,,
பொருட்பால்,குடியியல்,,101,,
பொருட்பால்,குடியியல்,,102,,
பொருட்பால்,குடியியல்,,103,,
பொருட்பால்,குடியியல்,,104,,
பொருட்பால்,குடியியல்,,105,,
பொருட்பால்,குடியியல்,,106,,
பொருட்பால்,குடியியல்,,107,,
பொருட்பால்,குடியியல்,,108,,
காமத்துப்பால்,களவியல்,,109,,
காமத்துப்பால்,களவியல்,,110,,
காமத்துப்பால்,களவியல்,,111,,
காமத்துப்பால்,களவியல்,,112,,
காமத்துப்பால்,களவியல்,,113,,
காமத்துப்பால்,களவியல்,,114,,
காமத்துப்பால்,களவியல்,,115,,
காமத்துப்பால்,கற்பியல்,,116,,
காமத்துப்பால்,கற்பியல்,,117,,
காமத்துப்பால்,கற்பியல்,,118,,
காமத்துப்பால்,கற்பியல்,,119,,
காமத்துப்பால்,கற்பியல்,,120,,
காமத்துப்பால்,கற்பியல்,,121,,
காமத்துப்பால்,கற்பியல்,,122,,
காமத்துப்பால்,கற்பியல்,,123,,
காமத்துப்பால்,கற்பியல்,,124,,
காமத்துப்பால்,கற்பியல்,,125,,
காமத்துப்பால்,கற்பியல்,,126,,
காமத்துப்பால்,கற்பியல்,,127,,
காமத்துப்பால்,கற்பியல்,,128,,
காமத்துப்பால்,கற்பியல்,,129,,
காமத்துப்பால்,கற்பியல்,,130,,
காமத்துப்பால்,கற்பியல்,,131,,
காமத்துப்பால்,கற்பியல்,,132,,
காமத்துப்பால்,கற்பியல்,,133,,
